doc_idx,filename,rule_label,prompt_id,gemini_label,gemini_reason
0,2014-关于印发慈溪市农村污水治理三年行动计划（2014—2016）的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
0,2014-关于印发慈溪市农村污水治理三年行动计划（2014—2016）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
0,2014-关于印发慈溪市农村污水治理三年行动计划（2014—2016）的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
0,2014-关于印发慈溪市农村污水治理三年行动计划（2014—2016）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
1,2014-关于印发《2014年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
1,2014-关于印发《2014年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
1,2014-关于印发《2014年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
1,2014-关于印发《2014年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
2,2011-市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
2,2011-市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知.docx,regulatory,P2_english,incentive,(keyword fallback)
2,2011-市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
2,2011-市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知.docx,regulatory,P8_label_only,incentive,(single word)
3,2019-慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
3,2019-慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知.docx,regulatory,P2_english,incentive,(keyword fallback)
3,2019-慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
3,2019-慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知.docx,regulatory,P8_label_only,incentive,(single word)
4,2016-慈溪市物价局关于调整城市居民生活污水处理费标准的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
4,2016-慈溪市物价局关于调整城市居民生活污水处理费标准的通知.docx,regulatory,P2_english,incentive,(keyword fallback)
4,2016-慈溪市物价局关于调整城市居民生活污水处理费标准的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
4,2016-慈溪市物价局关于调整城市居民生活污水处理费标准的通知.docx,regulatory,P8_label_only,incentive,(single word)
5,2010-市政府办公室关于印发慈溪市城镇排水管理办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
5,2010-市政府办公室关于印发慈溪市城镇排水管理办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
5,2010-市政府办公室关于印发慈溪市城镇排水管理办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
5,2010-市政府办公室关于印发慈溪市城镇排水管理办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
6,2010-市政府办公室关于印发慈溪市农村生活污水治理工作实施细则的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
6,2010-市政府办公室关于印发慈溪市农村生活污水治理工作实施细则的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
6,2010-市政府办公室关于印发慈溪市农村生活污水治理工作实施细则的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
6,2010-市政府办公室关于印发慈溪市农村生活污水治理工作实施细则的通知.docx,regulatory,P8_label_only,regulatory,(single word)
7,2013-慈溪市人民政府办公室关于印发慈溪市城镇污水处理费征收使用管理暂行办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
7,2013-慈溪市人民政府办公室关于印发慈溪市城镇污水处理费征收使用管理暂行办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
7,2013-慈溪市人民政府办公室关于印发慈溪市城镇污水处理费征收使用管理暂行办法的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
7,2013-慈溪市人民政府办公室关于印发慈溪市城镇污水处理费征收使用管理暂行办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
8,2016-慈溪市人民政府办公室关于印发慈溪市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
8,2016-慈溪市人民政府办公室关于印发慈溪市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
8,2016-慈溪市人民政府办公室关于印发慈溪市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
8,2016-慈溪市人民政府办公室关于印发慈溪市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
9,2019-慈溪市人民政府办公室关于印发慈溪市实施“门户管理”重点排水户管理办法（试行）的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
9,2019-慈溪市人民政府办公室关于印发慈溪市实施“门户管理”重点排水户管理办法（试行）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
9,2019-慈溪市人民政府办公室关于印发慈溪市实施“门户管理”重点排水户管理办法（试行）的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
9,2019-慈溪市人民政府办公室关于印发慈溪市实施“门户管理”重点排水户管理办法（试行）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
10,2016-关于印发《2016年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
10,2016-关于印发《2016年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
10,2016-关于印发《2016年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
10,2016-关于印发《2016年慈溪市“五水共治”工作总结》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
11,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本16.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
11,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本16.docx,regulatory,P2_english,regulatory,(keyword fallback)
11,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本16.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
11,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本16.docx,regulatory,P8_label_only,regulatory,(single word)
12,2008-慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
12,2008-慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
12,2008-慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
12,2008-慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知.docx,regulatory,P8_label_only,regulatory,(single word)
