doc_idx,filename,rule_label,llm_majority_label,text_first_500,human_label,human_notes
12,2008-慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知.docx,regulatory,regulatory,慈溪市发展改革局关于调整自来水销售价格和污水处理费标准的通知慈溪市自来水总公司城市排水有限公司随着汤浦水库引水工程建成通水一户一表改造环城管网建设和市域污水治理工程建设的深入自来水总公司制水成本和城市排水有限公司污水处理成本大幅提高为了保障生产生活用水需要维持企业的正常生产促进我市城市供水和污水处理事业的健康发展同时考虑用户的承受能力经我市自来水价格和污水处理费调整方案听证会议论证和市政府常务会议讨论通过并报宁波市物价局甬价管号批复决定调整市自来水总公司管网所及范围的自来水供水价格和污水处理费标准现通知如下一自来水售水价格分为五类居民生活用水含中小学幼儿园农村公厕等非经营性用水经营性用水特种行业用水各镇街道给水站用水五大类各类用水到户价格由自来水供水价格含水利工程供水价格和污水处理费构成具体价格详见附件二居民住宅生活用水实行阶梯式计量水价制度对已实施一户一表用水和二次供水的中高层住宅居民生活用水户实行阶梯式计量水价制度阶梯式计量水价分为级户用水人口常住户口和有居住证的外来人口下同在人及以下的每户每月水量基数分别为第一级立方米及以下第二级立方米第三级立方米及以上户用水人口超过人的每增加人,,
38,2018-宁波市江北区人民政府办公室关于印发《江北区城镇排水许可管理办法》的通知.docx,regulatory,regulatory,宁波市江北区人民政府办公室关于印发江北区城镇排水许可管理办法的通知各街道办事处慈城镇人民政府区政府各部门直属单位江北区城镇排水许可管理办法经区政府研究同意现印发给你们请认真贯彻执行宁波市江北区人民政府办公室年月日江北区城镇排水许可管理办法试行第一章总则第一条为加强对江北区城镇污水排入排水管网许可证以下简称排水许可证的监督管理根据城市污水排入排水管网许可管理办法住房和城乡建设部令第号宁波市城市排水和再生水利用条例和宁波市城市排水许可证管理办法等法律法规制定本办法第二条本办法适用于江北区行政区域内排水许可证的申领变更注销及监督检查第三条排水户是指在城镇行政区内排水管网及附属设施覆盖范围内从事工业建筑商业餐饮医疗等活动的企业事业单位个体工商户第四条江北区综合行政执法局城市管理局是江北区城镇排水行政主管部门负责江北区排水许可审核工作对符合要求的排水户组织进行验收和首次水质检测工作第五条各街道镇园区要协助江北区综合行政执法局城市管理局开展所辖区域内排水许可摸底催办初审排水户监管申领条件和资料的完整性审查等工作同时协助江北区综合行政执法局城市管理局对本辖区内排水户的预处理设施进行初步踏勘和指导服务,,
49,2017-宁波市鄞州区人民政府办公室关于开展农村生活污水治理系统提升工作的通知.docx,regulatory,regulatory,宁波市鄞州区人民政府办公室关于开展农村生活污水治理系统提升工作的通知各镇政府区政府各部门直属单位根据浙江省人民政府办公厅关于加强农村生活污水治理设施运行维护管理的意见浙政办发号和中共鄞州区委办公室鄞州区人民政府办公室关于实施农村生活污水治理三年行动计划的通知鄞党办号等文件精神为深入推进五水共治工作确保处理终端的出水污染物排放全面达到一级标准保证处理终端正常安全稳定运行经区政府同意决定对我区个设有固定处理终端的农村生活污水治理系统实施提升工程现就有关事项通知如下一实施范围目前我区尚需提升的农村生活污水处理系统有个具体详见附件其中个需要提升固定处理终端和管网系统个需要提升固定处理终端管网系统已提升个需要提升管网系统固定处理终端能达标个管网系统提升后直接接入市政管网二职责分工在区五水共治组织体系的基础上本项工作由区农办作为牵头单位负责做好统筹谋划和指导服务工作区发改局负责项目的审批和监管区财政局和审计局负责资金的投入和监管审核区住建局负责工程建设质量监管区排水公司负责处理终端提升工程实施各镇政府负责前期政策处理和管网提升工程实施三资金补助农村生活污水处理终端提升工程和运行费用由区财政统一安排,,
544,2023-青田县人民政府办公室关于印发《青田县入河排污口排查溯源整治工作实施方案》的通知.docx,regulatory,regulatory,青田县人民政府办公室关于印发青田县入河排污口排查溯源整治工作实施方案的通知各乡镇人民政府街道办事处县政府直属各单位青田县入河排污口排查溯源整治工作实施方案已经县政府同意现印发给你们请认真组织实施青田县人民政府办公室年月日此件公开发布青田县入河排污口排查溯源整治工作实施方案为贯彻落实国务院办公厅关于加强入河入海排污口监督管理工作的实施意见国办函号浙江省人民政府办公厅关于印发浙江省加强入河入海排污口监督管理工作方案的通知浙政办发号丽水市人民政府办公室关于印发丽水市入河排污口监督管理工作实施方案的通知丽政办发号等文件要求系统规范推进我县各类入河排污口及城镇雨洪排口排查监测溯源整治及监督管理等各项工作特制定本方案一总体要求一指导思想以习近平新时代中国特色社会主义思想为指导全面贯彻党的二十大精神坚持精准治污科学治污依法治污以高位改善提升水生态环境质量为核心以数字化改革为引领深化排污口设置和管理改革建立健全责任明晰设置合理管理规范排放达标的排污口长效监管机制不断提升生态环境治理能力和水平有效管控入河污染物排放为全面建设社会主义现代化新青田提供优质水生态环境保障二工作范围以各级河长责任河道为重点覆盖,,
337,2022-德清县人民政府办公室关于印发德清县入河排污口排查整治行动方案（2022—2025年）的通知.docx,regulatory,regulatory,德清县人民政府办公室关于印发德清县入河排污口排查整治行动方案年的通知高新区管委会各镇人民政府街道办县府直属各单位德清县入河排污口排查整治行动方案年已经县政府同意现印发给你们请结合实际认真贯彻执行德清县人民政府办公室年月日德清县入河排污口排查整治行动方案年为贯彻落实国务院办公厅关于加强入河入海排污口监督管理工作的实施意见国办函号国务院办公厅关于转发生态环境部国家发展改革委长江入河排污口整治行动方案的通知国办函号精神规范入河排污口监督管理有效管控入河污染物排放结合我县实际特制定本方案一实施范围本方案所称入河排污口以下简称排污口是指直接或通过管道沟渠等排污通道向环境水体排放污水的口门实施范围为德清县全域二总体要求一指导思想以习近平新时代中国特色社会主义思想为指导全面贯彻党的二十大精神深入贯彻习近平生态文明思想着力践行绿水青山就是金山银山理念坚持精准治污科学治污依法治污以水生态环境质量持续改善为目标持续深化入河排污口排查整治与监督管理有效管控入河污染物排放不断提升生态环境治理能力和水平为高质量建设生态文明城市作出积极贡献二目标任务全面开展入河排污问题整治实现全县排污口查测溯治区域全覆盖类型全覆,,
260,2017-杭州市西湖区人民政府办公室 关于西湖区2017年“五水共治”宣传工作 实施方案的通知.docx,informational,informational,杭州市西湖区人民政府办公室关于西湖区年五水共治宣传工作实施方案的通知各镇人民政府街道办事处区政府各部门各直属单位西湖区年五水共治宣传工作实施方案已经区政府研究同意现印发给你们请认真组织实施杭州市西湖区人民政府办公室年月日西湖区年五水共治宣传工作实施方案为贯彻落实全省剿灭劣类河道电视电话精神抓好系统治水科学治水水岸同治坚决剿灭劣类水体营造全社会关心支持参与监督五水共治工作的良好氛围提高群众对五水共治工作认知度参与度支持度满意度和信心度对照年西湖区五水共治工作实施方案现制定宣传工作实施方案如下一指导思想以党的十八大和习近平总书记系列重要讲话精神为指导牢固树立以人为本人水和谐的治水理念和绿水青山就是金山银山的生态意识全面落实省市五水共治战略部署认真落实省市区深化五水共治剿灭劣类水的重大决策促进我区经济社会与自然环境和谐发展把美丽写在西湖大地上全力打造浙江治水的西湖样本二工作目标牢牢把握正确舆论导向坚持以团结稳定鼓劲的正面宣传通过整合资源精准发力着力宣扬我区五水共治特色亮点组织省市区各级各类宣传平台和新闻工作者深入治水现场深入基层一线及时反映我区五水共治工作成效和典型经验积极引导全区上下各方力,,
523,2016-云和县人民政府办公室关于印发云和县河湖库塘清污(淤)工作实施方案(2016-2020年)的通知.docx,regulatory,regulatory,关于下达海盐县年度农村河沟整治计划的通知各乡镇人民政府街道办事处县政府直属各单位云和县河湖库塘清污淤工作实施方案年已经县政府研究同意现印发给你们请认真贯彻执行云和县人民政府办公室年月日此件公开发布云和县河湖库塘清污淤工作实施方案年为加快推进五水共治清污淤整治工作全面改善河湖库塘水质根据浙江省五水共治工作领导小组办公室浙江省水利厅关于全面开展河湖库塘清污淤工作的通知浙治水办发号和丽水市人民政府办公室关于印发丽水市河湖库塘清淤实施方案年的通知丽政办发号有关精神结合我县实际特制订本方案一总体目标以科学发展观为指导紧紧围绕省委十三届八次全会提出的不把污泥浊水带入全面小康的工作目标全面清除河湖库塘污淤泥全力打好污淤泥歼灭战深化巩固清三河成果实现河湖库塘淤疏动态平衡深入推进全县五水共治工作全面洁净水面水体水底环境营造水清流畅岸绿景美鱼游的水生态环境着力打造宜居宜游的水生态文明城市二基本原则条块结合协同推进坚持条块结合分工负责对城区内水域水源地河湖新农村周边水域防洪排涝河道等实施分类治理协同推进因地制宜科学清污淤优先考虑生态清污淤因地制宜选择淤泥处置方法加强清污淤全过程管理避免二次污染建立机制发挥长,,
323,2015-湖州市南浔区人民政府办公室关于进一步加强河道保洁长效管理工作的通知.docx,regulatory,regulatory,湖州市南浔区人民政府办公室关于进一步加强河道保洁长效管理工作的通知各镇人民政府南浔经济开发区管理委员会区政府各部门区直各单位为深入推进水环境治理全面提升南浔区河道保洁成效根据关于进一步加强市区河道保洁长效管理工作的通知湖政办函号南浔区水环境大整治三年行动方案的通知浔委发号南浔区年五水共治实施方案的通知浔委办通号精神现就进一步加强南浔区河道保洁长效管理工作的有关事项通知如下一明确工作目标对南浔区公里河道平方公里湖泊漾荡实现保洁全覆盖全面实行常年保洁力争达到河面无漂浮废弃物河岸无垃圾河中无障碍物的三无目标二落实保洁责任按照属地管理的原则明确南浔区河道保洁的责任范围和主体中心城区河道由南浔镇南浔古镇管委会城管执法局负责保洁条级主干航道责任主体为属地镇开发区其中京杭运河长湖申线湖嘉申线杭湖锡线及其连通湖泊漾荡分别由区级河长牵头部门作为监管主体东宗线及其连通湖泊漾荡分别由区水利局作为监管主体相关镇开发区统一招投标落实专业保洁队伍其他河道含湖泊漾荡由各镇政府和开发区管委会按辖区负责各责任主体要将责任范围内每一条河道的保洁任务分解落实到具体的实施单位明确责任人不留死角不留盲区确保河道保洁全覆盖三保障,,
91,2017-关于印发《宁波杭州湾新区劣V类水剿灭行动方案》的通知.docx,regulatory,regulatory,关于印发宁波杭州湾新区劣类水剿灭行动方案的通知各局办委庵东镇人民政府公安分局各有关单位经管委会研究同意现将宁波杭州湾新区劣类水剿灭行动方案印发给你们请结合实际认真贯彻执行宁波杭州湾新区开发建设管理委员会办公室年月日宁波杭州湾新区劣类水剿灭行动方案为持续深入推进新区五水共治工作打响全区污水剿灭战全面建成污水零直排区根据浙江省人民政府办公厅关于印发浙江省劣类水剿灭行动方案的通知和宁波市劣类水剿灭行动方案结合新区实际特制定本行动方案一目标要求紧紧围绕建设一城四区发展目标以提高水环境质量为核心以污水零直排区创建为载体以深化落实河长制为抓手全面推进七大专项行动到年月底前完成个劣类小微水体的剿灭任务年底前全面消除劣类水并确保所有市控区控断面水质明显改善二主要任务一污水零直排区创建专项行动全力提升城镇污水处理水平完成杭州湾新区污水处理厂地表水类水质排放标准的提标改造加强区域联动提升慈溪北部污水处理厂尾水入河标准加强雨污分流改造和截污纳管工作实施五金园区世纪城众创园等雨污管网改造工程提升五金园区污水泵站处理能力确保污水管网处于低水位运行完善庵东镇小微企业集聚区块基础配套全面改造工业区块雨污管网确保工业,,
545,2019-景宁畲族自治县住房和城乡建设局关于进一步做好农村生活污水治理设施长效运行维护管理的通知.docx,regulatory,regulatory,景宁畲族自治县住房和城乡建设局关于进一步做好农村生活污水治理设施长效运行维护管理的通知各乡镇人民政府街道办事处浙大水业有限公司为巩固我县农村环境连片整治成果强化农村生活污水的维护和管理确保已建成的乡镇生活污水治理设施正常运行现经景宁畲族自治县农村生活污水治理设施运行维护领导小组同意结合我县实际请各乡镇街道根据景宁畲族自治县农村生活污水治理设施运行维护管理办法景政办发号相关职责分工就进一步加强农村生活污水治理设施长效运维管理工作具体通知如下一职责分工各乡镇人民政府街道办事处浙大水业有限公司下文简称运维公司按照职责分工做好已投入使用的生活污水治理设施的运行维护和管理工作一各乡镇人民政府街道办事处是农村生活污水治理设施运维工作的管理主体负责本行政区域内农村生活污水治理设施运行维护的日常管理落实分管领导和名具体工作人员制订和执行运行维护管理的日常工作制度做好各村或第三方专业服务机构运维情况的监督指导督促村级组织农户开展日常运行维护管理定期对污水处理设施进行巡查建立健全档案资料管理制度及时向县主管部门报送相关资料根据生活污水治理设施的实际情况和用电负荷制定各村生活污水治理设施年度运行维护管理计划,,
